time,id,payload
1749574865.869,116,011C012A012A0000
1749574865.880,117,02CF84DF01A51E7B
1749574865.880,118,380053FC0D01
1749574865.891,119,000000000000
1749574865.891,116,011C012A012A0000
1749574865.946,116,011C012A012A0000
1749574865.947,117,02CF84DD01A51E7E
1749574865.958,118,3A0056FC0801
1749574865.968,119,00000000FFFF
1749574865.969,116,011C012A012A0000
1749574865.251,118,3E005DFC0A01
1749574865.353,117,D501A51E7E02CF84
1749574865.453,117,A51E7E02CF84D501
1749574865.553,117,02CF84D501A51E7E
1749574865.653,117,CF84D501A51E7E02
1749574865.753,116,011C012A012A0000
1749574865.754,118,390054FC0901
1749574865.854,117,02CF84D501A51E7E
1749574865.957,117,1E7F02CF84D401A5
1749574865.060,117,02CF84D401A51E7F
1749574865.163,116,011C012A012A0000
1749574865.266,116,011C012A012A0000
1749574865.368,117,01A51E7F02CF84D4
1749574865.468,117,02CF84D401A51E7F
1749574865.469,119,000000000000
1749574865.569,116,011C012A012A0000
1749574865.569,117,02CF84D401A51E7F
1749574865.580,118,390054FC0901
1749574865.591,119,000000000000
1749574865.768,117,02CF84D401A51E7F
1749574865.769,119,000000000000
1749574865.870,116,011C012A012A0000
1749574865.870,117,02CF84D401A51E7F
1749574865.881,118,380052FC0B01
1749574865.891,119,000000000000
1749574865.972,118,390054FC0B01
1749574865.075,117,84D301A51E7F02CF
1749574865.178,117,02CF84D301A51E7F
1749574865.179,119,000000000000
1749574865.281,118,380054FC0A01
1749574865.382,117,CF84D301A51E7F02
1749574865.483,117,D301A51E7F02CF84
1749574865.583,117,02CF84D301A51E7F
1749574865.683,117,1E7F02CF84D301A5
1749574865.684,119,000000000000
1749574865.783,118,390053FC0A01
1749574865.885,117,7F02CF84D301A51E
1749574865.988,117,D101A51E7F02CF84
1749574865.091,117,7F02CF84D101A51E
1749574865.194,117,02CF84D101A51E7F
1749574865.297,117,A51E7F02CF84D101
1749574865.398,117,84D101A51E7F02CF
1749574865.498,117,84D101A51E7F02CF
1749574865.598,117,02CF84D101A51E7F
1749574865.698,117,02CF84D101A51E7F
1749574865.699,119,000000000000
1749574865.003,116,011C012A012A0000
1749574865.106,117,01A51E7F02CF84D1
1749574865.209,116,011C012A012A0000
1749574865.209,117,02CF84D101A51E7F
1749574865.220,118,3A0054FC0B01
1749574865.231,119,000000000000
1749574865.413,116,011C012A012A0000
1749574865.513,117,02CF84D101A51E7F
1749574865.613,117,D101A51E7F02CF84
1749574865.713,117,02CF84D101A51E7F
1749574865.813,117,CF84D101A51E7F02
1749574865.916,117,02CF84D001A51E7F
1749574865.019,117,02CF84D001A51E7F
1749574865.122,117,CF84D001A51E7F02
1749574865.328,117,02CF84D001A51E7F
1749574865.428,117,02CF84D001A51E7F
1749574865.529,116,011C012A012A0000
1749574865.529,117,02CF84D001A51E7F
1749574865.540,118,380054FC0A01
1749574865.551,119,000000000000
1749574865.628,119,000000000000
1749574865.829,116,011C012A012A0000
1749574865.829,117,02CF84D001A51E7F
1749574865.840,118,390054FC0B01
1749574865.850,119,000000000000
1749574865.034,117,84D001A51E8002CF
1749574865.137,117,D001A51E8002CF84
1749574865.240,117,02CF84D001A51E80
1749574865.343,116,011C012A012A0000
1749574865.443,117,01A51E8002CF84D0
1749574865.543,117,02CF84D001A51E80
1749574865.643,117,CF84D001A51E8002
1749574865.743,117,02CF84D001A51E80
1749574865.744,119,000000000000
1749574865.844,118,3A0053FC0A01
1749574865.947,116,011C012A012A0000
1749574865.948,119,000000000000
1749574865.050,119,000000000000
1749574865.153,116,011C012A012A0000
1749574865.154,118,390054FC0901
1749574865.256,117,02CF84D001A51E80
1749574865.358,117,02CF84D001A51E80
1749574865.458,117,02CF84D001A51E80
1749574865.558,117,1E8002CF84D001A5
1749574865.658,116,011C012A012A0000
1749574865.659,119,000000000000
1749574865.859,117,1E8002CF84D001A5
1749574865.962,117,01A51E8002CF84D0
1749574865.065,117,D001A51E8002CF84
1749574865.169,116,011C012A012A0000
1749574865.169,117,02CF84D001A51E80
1749574865.180,118,380054FC0E01
1749574865.191,119,000000000000
1749574865.271,116,011C012A012A0000
1749574865.272,119,000000000000
1749574865.373,117,02CF84D001A51E80
1749574865.473,117,02CF84D001A51E80
1749574865.573,117,CF84D001A51E8002
1749574865.673,117,02CF84D001A51E80
1749574865.773,117,02CF84D001A51E80
1749574865.874,117,8002CF84D001A51E
1749574865.977,117,8102CF84D001A51E
1749574865.978,119,000000000000
1749574865.080,116,011C012A012A0000
1749574865.183,117,02CF84D001A51E81
1749574865.286,117,D001A51E8102CF84
1749574865.387,116,011C012A012A0000
1749574865.487,117,84D001A51E8102CF
