1762187928.373,119,000000000000
1762187928.427,119,000000000000
1762187928.527,119,000000000000
1762187928.570,115,0000000000000000
1762187928.627,119,000000000000
1762187929.756,624,0000000000570000
1762187929.828,119,000000000000
1762187929.914,5F0,007806E906E90EB6
1762187929.933,115,0000000000000000
1762187929.032,119,000000000000
1762187929.134,119,000000000000
1762187929.235,119,000000000000
1762187929.314,5F0,007806F306F30096
1762187929.335,119,000000000000
1762187929.470,115,0000000000000000
1762187929.535,119,000000000000
1762187929.635,119,000000000000
1762187930.782,5F5,00960000006403E8
1762187929.715,5F0,0078070507050F93
1762187930.836,119,000000000000
1762187930.938,119,000000000000
1762187930.040,119,000000000000
1762187930.193,115,0000000000000000
1762187930.116,5F0,0079072B072B0EE6
1762187930.285,5F5,00960000006403E8
1762187930.342,119,000000000000
1762187930.442,119,000000000000
1762187930.642,119,000000000000
1762187930.517,5F0,0079072B072B0E85
1762187930.550,115,0000000000000000
1762187931.843,119,000000000000
1762187931.756,5F4,000003E803E803E8
1762187931.918,5F0,007A163416340096
1762187931.945,119,000000000000
1762187931.047,119,000000000000
1762187931.149,119,000000000000
1762187931.219,5F0,007A17C017C00AE3
1762187931.319,5F0,007A181C181C0096
1762187931.349,119,000000000000
1762187931.450,115,0000000000000000
1762187931.549,119,000000000000
1762187931.630,115,0000000000000000
1762187931.719,5F0,007A1B191B19101B
1762187932.850,119,000000000000
1762187932.783,5F5,00960019006403E8
1762187932.952,119,000000000000
1762187932.020,5F0,007B089A089A0F5C
1762187932.120,5F0,007B168E168E0DAB
1762187932.170,115,0000000000000000
1762187932.286,5F5,00960030006403E8
1762187932.521,5F0,007B0EDD0EDD13E9
1762187932.421,5F0,007B20C820C81336
1762187932.356,119,000000000000
1762187932.622,5F0,007B076B076B14CF
1762187932.556,119,000000000000
1762187933.822,5F0,007C07030703107E
1762187933.922,5F0,007C1C051C050E8A
1762187933.758,5F4,000003E803E803E8
1762187933.993,119,000000000000
1762187933.070,115,0000000000000000
1762187933.122,5F0,007C0F9B0F9B1577
1762187933.222,5F0,007C0CEC0CEC193C
1762187933.322,5F0,007C054D054D175E
1762187933.396,119,000000000000
1762187933.430,115,0000000000000000
1762187933.523,5F0,007C17F817F8134E
1762187933.623,5F0,007C203C203C1349
1762187933.723,5F0,007C1060106016FC
1762187934.796,119,000000000000
1762187934.823,5F0,007D0D8C0D8C1980
1762187934.924,5F0,007D05610561187C
1762187934.124,5F0,007D1691169113D5
1762187934.024,5F0,007D050305031622
1762187934.205,119,000000000000
1762187934.287,5F5,00960039006403E8
1762187934.332,115,0000000000000000
1762187934.525,5F0,007D0583058317B6
1762187934.425,5F0,007D0F2A0F2A18C3
1762187934.604,119,000000000000
1762187934.690,115,0000000000000000
1762187935.826,5F0,007E1F4E1F4E124B
1762187935.759,5F4,000003E803E803E8
1762187935.927,5F0,007E2553255316BE
1762187935.009,119,000000000000
1762187935.050,115,0000000000000000
1762187935.127,5F0,007E056805681824
1762187935.230,115,0000000000000000
1762187935.327,5F0,007E18F218F213D2
1762187935.412,119,000000000000
1762187935.428,5F0,007E1FEA1FEA1338
1762187935.528,5F0,007E26752675172B
1762187935.628,5F0,007E0E100E10191B
1762187935.728,5F0,007E056105611791
1762187936.812,119,000000000000
1762187936.829,5F0,007F058305831547
1762187936.950,115,0000000000000000
1762187936.029,5F0,007F24792479153C
1762187936.130,5F0,007F12E612E61726
1762187936.285,5F5,00960000006403E8
1762187936.130,5F0,007F12E612E61726
1762187936.331,5F0,007F056105611825
1762187936.532,5F0,007F16771677135F
1762187936.431,5F0,007F05750575158D
1762187936.532,5F0,007F16771677135F
1762187936.670,115,0000000000000000
1762187937.759,5F4,000003E803E803E8
1762187937.850,115,0000000000000000
1762187937.934,5F0,008004D704D717CA
1762187937.934,5F0,008004D704D717CA
1762187937.033,5F0,0080052105211537
1762187937.134,5F0,008005E305E3128E
1762187937.234,5F0,008005BC05BC1026
1762187937.390,115,0000000000000000
1762187937.334,5F0,008005AA05AA0E1C
1762187937.434,5F0,0080059905990C50
1762187937.570,115,0000000000000000
1762187937.635,5F0,008005F705F70C43
1762187937.735,5F0,008105E705E70756
1762187938.786,5F5,00960000006403E8
1762187938.835,5F0,008106120612063C
1762187938.965,119,000000000000
1762187938.036,5F0,00811B261B2605C2
1762187938.136,5F0,00811CB31CB30096
1762187938.169,119,000000000000
1762187938.290,115,0000000000000000
1762187938.369,119,000000000000
1762187938.437,5F0,00810A660A660DFC
1762187938.537,5F0,0081171217121062
1762187938.569,119,000000000000
1762187939.769,119,000000000000
1762187938.669,119,000000000000
1762187939.938,5F0,0082157015700096
1762187939.838,5F0,0082157815780B1D
1762187939.010,115,0000000000000000
1762187939.075,119,000000000000
1762187939.238,5F0,0082091309130096
1762187939.339,5F0,00820AE20AE20D33
1762187939.177,119,000000000000
1762187939.377,119,000000000000
1762187939.477,119,000000000000
1762187939.577,119,000000000000
1762187939.639,5F0,0082081008100CC6
1762187939.739,5F0,008307DB07DB0B07
1762187940.790,5F5,00960000006403E8
